project,package,class,method,time
TymchenkoIvan,com.company.web.controller,ProductsServlet,setPages.(II)I,53
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,convertToPermissionsSet.(I)Ljava/lang/Object;,52
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,isSet.(II)Z,51
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setHotspotBounds.(IIII)V,49
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setLayoutDirection.(I)V,47
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,46
nikit-cpp,player,CustomPlayer,play.(I)Z,32
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingCountOfOneUser.(I)I,35
AdaptiveSystem,com.movie.worth.dao,Ratings,checkIfThisUserRatedThisMovie.(II)Ljava/lang/Object;,35
wujek-srujek,com.jambit.conti.ccss,CCSS,generateTouch.(III)V,44
halfjew22,net.everythingandroid.timer,TimerActivity,switchTimerInputMethod.(I)V,33
raphapacheco,br.com.backapp.finfacil.activity.spinner_adapter,CategoriaSpinnerAdapter,getItemId.(I)J,31
avoajaugochukwu,com.biito.masterflow,WebpageListFragment,setActivatedPosition.(I)V,29
Freezard,com.example.lab6.dialer,DialerView,playSound.(I)V,30
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,ProductCellAdapter,getProduct.(I)Ljava/lang/Object;,30
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,SubcategoryAdapter,getCategory.(I)Ljava/lang/Object;,30
NanodegreeStudent,com.danilaeremin.nicecoffee.Fragments,NavigationDrawerFragment,selectItem.(I)V,29
shred,org.shredzone.feinrip.gui,JLabelGroup,setVerticalAlignment.(I)V,454
shred,org.shredzone.feinrip.gui,JLabelGroup,setMinimumWidth.(I)V,207
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionInterval.(II)V,108
shred,org.shredzone.feinrip.gui,NoListSelectionModel,addSelectionInterval.(II)V,37
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionMode.(I)V,35
boulderalf,com.boulderalf.markdown2mm,ToMmSerializer,createNode.(I)Ljava/lang/Object;,38
lydiaSidhom,Engine,Shifter,shift.(I)V,62
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildrenCount.(I)I,32
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getGroupId.(I)J,48
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildId.(II)J,38
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,isChildSelectable.(II)Z,31
bashizip,com.bashizip.andromed,QuotesActivity,displayQuote.(I)V,37
yitaohu,cs61b_project1,PixImage,getRed.(II)S,34
yitaohu,cs61b_project1,PixImage,getGreen.(II)S,43
yitaohu,cs61b_project1,PixImage,getBlue.(II)S,33
nicolas-legroux,-,GraphBuilder,addPartsOfSize.(II)V,31
nicolas-legroux,-,GraphBuilder,isPart.(IIII)Z,31
phdabel,util,MASLABRouting,getSearch.(I)Ljava/lang/Object;,32
phdabel,util,MASLABRouting,getRoadIDs.(I)Ljava/lang/Object;,31
phdabel,ufrgs.maslab.abstractsimulator.algorithms,KMeans,initializeCentroids.(I)V,40
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,act.(I)V,32
phdabel,ufrgs.maslab.abstractsimulator.variables,FireStation,clusteringMain.(I)V,38
Mandrivia,main,ProblemData,setAreaDimension.(III)V,33
Mandrivia,main,ProblemData,setNbTarget.(I)V,32
Mandrivia,main,ProblemData,setNbBalloon.(I)V,46
Mandrivia,main,ProblemData,setNbTurn.(I)V,33
Mandrivia,main,ProblemData,isTarget.(II)Z,32
Mandrivia,main,ProblemData,setCoverageRadius.(I)V,34
Mandrivia,main,ProblemData,setnX.(I)V,31
Mandrivia,main,ProblemData,setnY.(I)V,30
Mandrivia,main,ProblemData,setnZ.(I)V,31
Mandrivia,main,ProblemData,getAltitudeChanges.(II)I,33
Mandrivia,main,ProblemData,setAltitudeChanges.(III)V,31
Mandrivia,main,ProblemData,setTargetCovered.(II)V,30
Mandrivia,main,ProblemData,getTargetIndex.(II)I,32
Mandrivia,main,ProblemData,isCovered.(I)I,34
Mandrivia,main,ProblemData,columnDist.(II)I,49
Mandrivia,main,ProblemData,getScoreBalloon.(II)I,52
CaptainSpam,net.exclaimindustries.drivelapse,DriveLapse,switchButtonStates.(I)V,53
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getIcon.(II)Ljava/lang/Object;,60
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getTier.(I)I,48
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getRotation.(I)I,46
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,damageDropped.(I)I,30
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,updateForTier.(I)V,30
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,transfer.(III)Z,34
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,getAugmentedTime.(I)I,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,getAugmentedEnergy.(I)I,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,isValidSlot.(I)Z,38
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,canInput_Item.(I)Z,43
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,canOutput_Item.(I)Z,45
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,installAugment.(I)Z,46
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,rotateDirectlyTo.(I)V,42
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setFacing.(I)Z,45
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,decrSide.(I)Z,45
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,incrSide.(I)Z,45
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setSide.(II)Z,45
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,receiveGuiNetworkData.(II)V,41
voxelcarrot,io.bunnies.fractalmaps.view,FractalView,onSizeChanged.(IIII)V,45
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfColumns.(I)V,44
gpfjeff,com.gpfcomics.android.ppp,Cardset,setNumberOfRows.(I)V,45
gpfjeff,com.gpfcomics.android.ppp,Cardset,setPasscodeLength.(I)V,44
gpfjeff,com.gpfcomics.android.ppp,Cardset,setLastCard.(I)V,44
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidNumberOfColumns.(I)Z,56
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidNumberOfRows.(I)Z,50
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidPasscodeLength.(I)Z,54
gpfjeff,com.gpfcomics.android.ppp,Cardset,isValidCardNumber.(I)Z,45
gpfjeff,com.gpfcomics.android.ppp,Cardset,fitsMaxCardWidth.(II)Z,46
gpfjeff,com.gpfcomics.android.ppp,Cardset,calculateCardWdith.(II)I,44
shareme,com.grottworkshop.gwsviewmodel.viewmodel,UserListViewModel,deleteUser.(I)V,47
frigidrain,scheduler,TaskGroup,setId.(I)V,43
frigidrain,scheduler,TaskGroup,setValue.(I)V,59
frigidrain,scheduler,TaskGroup,setUrgency.(I)V,42
frigidrain,scheduler,TaskGroup,setDuration.(I)V,42
frigidrain,scheduler,TaskGroup,setDifficulty.(I)V,43
frigidrain,scheduler,TaskGroup,priority.(I)I,46
frigidrain,scheduler,TaskGroup,createChunks.(I)V,45
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeInternal.(I)V,56
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,write.(I)V,38
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeLittleEndian.(II)V,38
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,copyFromEnd.(II)V,43
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,byteAtDistance.(I)I,31
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,checkNoEOF.(I)V,40
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,skipBytes.(I)V,38
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readLittleEndian.(I)I,36
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readBits.(I)I,42
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeBits.(II)V,37
igorgatis,com.googlecode.compress_j2me.lzc,LZCStream,readCode.(I)I,31
igorgatis,com.googlecode.compress_j2me.lzc,LZCStream,writeCode.(II)V,32
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,writeBuffer.(I)V,37
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,writeCode.(II)V,30
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,compress.(I)V,47
igorgatis,com.googlecode.compress_j2me.lzc,LZCOutputStream,write.(I)V,36
luizrogeriocn,-,ListaDeCantinas,adicionarReferencia.(II)V,27
luizrogeriocn,-,ListaDeCantinas,removerReferencia.(I)V,29
luizrogeriocn,-,ListaDeCantinas,buscarEstoque.(I)I,29
