project,package,class,method,time_green
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,find.(I)Lcom/pfyuit/myalgorithm/datastructure/hash/HashTable$DataItem;,28
eevans,SevenZip.Compression.LZMA,Base,StateUpdateMatch.(I)I,27
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,scaleToWidth.(I)Ljava/lang/Object;,26
MikeLydeamore,powercrystals.core.gui.controls,Button,getTextColor.(II)I,29
double0291,com.dreamland.util.cache,MemoryLruCache,trimToSize.(I)V,28
TBtomislav,jxl.biff.drawing,BlipType,getType.(I)Ljxl/biff/drawing/BlipType;,37
jordanywhite,edu.up.cs301.othello,OthelloState,isLegalMove.(II)Z,28
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemId.(I)J,26
yojek,com.sflow.jmx,SFlowAgent,pad.(I)I,26
yxsu,com.petuum.ps.server,CallBackSubs,unsubscribe.(I)Z,28
sheryanresutov,GameBackEnd,GameLobby,joinGame.(II)V,27
divinebooger,-,Board,unoccupy.(II)V,27
beast1944,com.andreikushner.finana.app,NavigationDrawerFragment,selectItem.(I)V,29
sephiroth74,it.sephiroth.android.library.overlaymenu,OverMenuView,setDefaultPosition.(I)V,42
martincameron,ibxm,Data,load.(II)V,32
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingCountOfOneUser.(I)I,29
abraxasson,at.abraxas.amarino.plugins.orientation,EditActivity,getRateText.(I)Ljava/lang/Object;,28
netixx,fr.enst.infsi351.notedown.util,PdfEngine,prepareRender.(I)Z,30
gpfjeff,com.gpfcomics.android.ppp,Cardset,setPasscodeLength.(I)V,30
TBtomislav,jxl.format,Alignment,getAlignment.(I)Ljxl/format/Alignment;,31
TBtomislav,jxl.format,BorderLineStyle,getStyle.(I)Ljxl/format/BorderLineStyle;,34
nefiga,fastpace.com.appme.action,Action,setActionChanngeDrawable.(I)V,28
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,scaleToHeight.(I)Ljava/lang/Object;,27
pinguo-zhangshuchun,kari.com.org.camerademo,CameraActivity,changeCameraZoom.(I)V,30
